Rule_Name,Description,Applies_To_Levels,Example_Correct,Example_Incorrect,Error_Message,Teaching_Tip,Validation_Function,Priority,Category
subject_verb_agreement,Verbs must agree with subjects,1-47,She eats pizza,She eat pizza,Add -s to verbs with he/she/it,Use base form with I/you/we/they. Add -s with he/she/it.,check_subject_verb_agreement,high,basic_grammar
article_before_countable,Countable nouns need articles,2-47,I eat a sandwich,I eat sandwich,Missing article before noun,Countable nouns need a/an/the before them.,check_article_usage,high,articles
a_before_consonant,Use 'a' before consonant sounds,2-47,a book,an book,Wrong article choice,Use 'a' before consonant sounds like 'b' in book.,check_a_an_usage,high,articles
an_before_vowel,Use 'an' before vowel sounds,2-47,an apple,a apple,Wrong article choice,Use 'an' before vowel sounds like 'a' in apple.,check_a_an_usage,high,articles
auxiliary_agreement,Auxiliary verbs must agree with subjects,3-47,She doesn't eat,She don't eat,Wrong auxiliary verb,Use doesn't with he/she/it. Use don't with I/you/we/they.,check_auxiliary_agreement,high,auxiliaries
base_after_auxiliary,Use base form after do/does/did,3-47,I don't eat,I don't eats,Wrong verb form after auxiliary,Always use base form (eat not eats) after do/does/did.,check_base_after_auxiliary,high,auxiliaries
auxiliary_first_questions,Put auxiliary before subject in questions,4-47,Do you like pizza?,You do like pizza?,Wrong word order,Questions start with auxiliary: Do/Does + subject + verb.,check_auxiliary_first,high,questions
be_agreement,Be verbs must agree with subjects,7-47,I am eating,I is eating,Wrong be verb,Use am with I; is with he/she/it; are with you/we/they.,check_be_agreement,high,be_verbs
ing_with_continuous,Use -ing with continuous tenses,7-47,I am eating,I am eat,Missing -ing ending,Continuous tenses need verb + ing.,check_ing_ending,high,continuous
past_form_all_subjects,Past tense same for all subjects,13-47,I ate / She ate,I eat yesterday,Wrong tense,Past tense looks the same for all subjects.,check_past_form,high,past_tense
did_not_past_form,Don't use past form after did/didn't,15-47,I didn't eat,I didn't ate,Wrong verb form,Use base form (eat not ate) after did/didn't.,check_base_after_did,high,past_tense
have_has_agreement,Have/has must agree with subjects,18-47,She has eaten,She have eaten,Wrong auxiliary,Use has with he/she/it. Use have with I/you/we/they.,check_have_has_agreement,high,perfect_tenses
past_participle_perfect,Use past participle with perfect tenses,18-47,I have eaten,I have eat,Wrong verb form,Perfect tenses need past participle (eaten not eat).,check_past_participle,high,perfect_tenses
will_base_form,Use base form after will,26-47,I will eat,I will eats,Wrong verb form after will,Will is followed by base form. No -s needed.,check_will_base_form,high,future_tense
no_double_negative,Don't use double negatives,3-47,I don't like anything,I don't like nothing,Double negative,Use don't + anything not don't + nothing.,check_no_double_negative,medium,negatives
word_order_svo,Basic word order is Subject-Verb-Object,1-47,I eat pizza,Pizza eat I,Wrong word order,English follows Subject-Verb-Object order.,check_word_order,high,basic_grammar
question_word_first,Question words come first,5-47,What do you eat?,Do you eat what?,Wrong word order,Question words (what who where) come first.,check_question_word_first,high,questions
no_auxiliary_with_be,Don't use do/does with be verbs,7-47,Are you happy?,Do you are happy?,Unnecessary auxiliary,Be verbs don't need do/does. Just: Are you happy?,check_no_auxiliary_with_be,medium,be_verbs
time_expression_placement,Time expressions usually go at the end,9-47,I ate pizza yesterday,Yesterday I ate pizza,Word order preference,Time words usually go at the end of sentences.,check_time_expression_placement,low,word_order
specific_vs_general,Use 'the' for specific 'a/an' for general,2-47,I read the book (specific),I read a book (any book),Article choice,The = specific thing. A/an = any one thing.,check_specific_general_articles,medium,articles
zero_conditional_structure,Zero conditional uses present simple in both clauses,12,If you heat water it boils,If you will heat water it boils,Wrong tense in conditional,Zero conditional: If + present simple + present simple for facts.,check_zero_conditional,medium,conditionals
comma_in_conditionals,Use comma after if-clause,12-47,"If it rains, I stay home",If it rains I stay home,Missing comma,Put comma after if-clause in conditionals.,check_comma_in_conditionals,low,punctuation
regular_past_ed,Regular verbs add -ed for past,13,I played soccer,I play soccer yesterday,Missing -ed ending,Regular verbs add -ed for past tense.,check_regular_past_ed,high,past_tense
