level_id,name,category,pattern_display,pattern_formula,pattern_components,example_1,example_2,example_3,explanation,show_articles,show_auxiliaries,show_negation,show_questions,auxiliary_type,question_type
1,Basic Affirmative,present-basics,"Subject + Verb + Object","subject + verb + object","subject,verb,object","She eats pizza","They play soccer","We drink coffee","Use V1 (base form) with I, you, we, they. Use V1-3rd (adds -s/-es) with he, she, it. Use uncountable nouns (pizza, soccer, coffee) or plural nouns (apples, books) - no articles needed.",false,false,false,false,none,none
2,Articles & Nouns,present-basics,"Subject + Verb + Article + Object","subject + verb + article + object","subject,verb,article,object","I eat a sandwich","She drinks the coffee","He reads an article","Use ""a"" or ""an"" with singular countable nouns. Use ""the"" for specific things. No article with plural or uncountable nouns.",true,false,false,false,none,none
3,Negative Present,present-basics,"Subject + Auxiliary + Negation + Verb + Object","subject + auxiliary + negation + verb + object","subject,auxiliary,negation,verb,object","I don't like vegetables","She doesn't eat meat","They don't watch TV","Use ""do not"" with I, you, we, they. Use ""does not"" with he, she, it. Always use V1 after do/does.",false,true,true,false,do_does,none
4,Yes/No Questions,present-basics,"Auxiliary + Subject + Verb + Object?","auxiliary + subject + verb + object","auxiliary,subject,verb,object","Do you like pizza?","Does she eat breakfast?","Do they play soccer?","Use ""Do"" with I, you, we, they. Use ""Does"" with he, she, it. Always use V1 after do/does.",false,true,false,true,do_does,yes_no
5,Wh-Questions (What),present-basics,"Question Word + Auxiliary + Subject + Verb?","question + auxiliary + subject + verb","question,auxiliary,subject,verb","What do you eat?","What does she study?","What do they play?","Start with question word, then use do/does + subject + V1.",false,true,false,true,do_does,wh
6,Wh-Questions (Who/Where/When),present-basics,"Question Word + Auxiliary + Subject + Verb?","question + auxiliary + subject + verb","question,auxiliary,subject,verb","Where do you live?","When does she work?","Who do they know?","Use different question words (who, where, when) with the same pattern.",false,true,false,true,do_does,wh
7,Present Continuous,present-basics,"Subject + Be Verb + Verb-ing + Object","subject + be + verb_ing + object","subject,auxiliary,verb,object","I am eating lunch","She is studying English","They are playing games","Use am (I), is (he/she/it), are (you/we/they) + verb-ing for actions happening now.",false,true,false,false,be,none
8,Present Continuous Questions,present-basics,"Question Word + Be Verb + Subject + Verb-ing?","question + be + subject + verb_ing","question,auxiliary,subject,verb","What are you doing?","Where is she going?","Why are they running?","Start with question word, then am/is/are + subject + verb-ing.",false,true,false,true,be,wh
9,Time Prepositions,time-expressions,"Subject + Verb + Preposition + Time","subject + verb + preposition + time","subject,verb,preposition,time","She studies at 9 AM","I work on Monday","They meet in January","Use ""at"" for specific times, ""on"" for days/dates, ""in"" for months/years/periods.",false,false,false,false,none,none
10,Frequency Adverbs,time-expressions,"Subject + Adverb + Verb + Object","subject + adverb + verb + object","subject,adverb,verb,object","I always eat breakfast","She usually walks","They never complain","Frequency adverbs go before the main verb but after ""be"" verbs.",false,false,false,false,none,none
11,Frequency Expressions,time-expressions,"Subject + Verb + Object + Frequency","subject + verb + object + frequency","subject,verb,object,adverb","She visits once a month","I exercise twice a week","They meet three times","Use once/twice/three times + a + time period to show how often.",false,false,false,false,none,none
12,Zero Conditional,time-expressions,"If + Subject + Verb, Subject + Verb","if + subject + verb + subject + verb","subject,verb,subject,verb","If you heat water, it boils","If it rains, we stay home","If you study, you learn","Use zero conditional for facts, rules, and general truths. Both clauses use present simple.",false,false,false,false,none,none
13,Past Simple Affirmative,past-tense,"Subject + Past Verb + Object","subject + past_verb + object","subject,verb,object","I ate pizza yesterday","She went home early","They finished work","Use V2 (past form) for completed actions in the past. Regular verbs add -ed, irregular verbs change completely.",false,false,false,false,none,none
14,Past Simple Negative,past-tense,"Subject + Didn't + Verb + Object","subject + didnt + verb + object","subject,auxiliary,verb,object","I didn't go yesterday","She didn't eat lunch","They didn't watch TV","Use ""didn't"" + base verb for all subjects in past negative.",false,true,true,false,did,none
15,Past Simple Questions,past-tense,"Did + Subject + Verb + Object?","did + subject + verb + object","auxiliary,subject,verb,object","Did you see the movie?","Did she finish homework?","Did they arrive early?","Use ""Did"" + subject + base verb for all past questions.",false,true,false,true,did,yes_no
16,Past Continuous,past-tense,"Subject + Was/Were + Verb-ing","subject + was_were + verb_ing","subject,auxiliary,verb","I was eating dinner","She was studying","They were playing","Use was (I/he/she/it) or were (you/we/they) + verb-ing for past ongoing actions.",false,true,false,false,be_past,none
17,Past Continuous Questions,past-tense,"What + Was/Were + Subject + Verb-ing?","question + was_were + subject + verb_ing","question,auxiliary,subject,verb","What were you doing?","Where was she going?","Why were they running?","Use question word + was/were + subject + verb-ing.",false,true,false,true,be_past,wh
18,Present Perfect Introduction,present-perfect,"Subject + Have/Has + Past Participle","subject + have_has + past_participle","subject,auxiliary,verb","I have visited Paris","She has finished work","They have eaten lunch","Use have (I/you/we/they) or has (he/she/it) + past participle for experiences and completed actions with present relevance.",false,true,false,false,have_has,none
19,Present Perfect Experience,present-perfect,"Have/Has + Subject + Ever + Past Participle?","have_has + subject + ever + past_participle","auxiliary,subject,adverb,verb","Have you ever been to Japan?","Has she ever seen snow?","Have they ever traveled abroad?","Use ""ever"" in questions and ""never"" in negative answers about life experiences.",false,true,false,true,have_has,yes_no
20,Present Perfect Recent,present-perfect,"Subject + Have/Has + Just/Already + Past Participle","subject + have_has + adverb + past_participle","subject,auxiliary,adverb,verb","I have just finished","She has already eaten","They have just arrived","Use ""just"" for very recent actions and ""already"" for completed actions.",false,true,false,false,have_has,none
