level_id,name,category,pattern_display,pattern_formula,pattern_components,example_1,example_2,example_3,explanation,show_articles,show_auxiliaries,show_negation,show_questions,auxiliary_type,question_type,spanish_error_pattern,gentle_correction,memory_trick,time_markers,exception_notes
1,Basic Affirmative,present-basics,"Subject + Verb + Object","subject + verb + object","subject,verb,object","She eats pizza","They play soccer","We drink coffee","Use V1 (base form) with I, you, we, they. Use V1-3rd (adds -s/-es) with he, she, it. The 'magic -s' rule: He/She/It gets the -s! Use uncountable nouns (pizza, soccer, coffee) or plural nouns (apples, books) - no articles needed. This is the foundation of English sentence structure.","false","false","false","false","none","none","She eat pizza (missing -s)","Great thinking! In English, he/she/it gets the 'magic -s': She eats pizza","Think of -s as magic that only he/she/it can use","now, today, usually, every day","Regular verbs add -s, but 'have' becomes 'has', 'do' becomes 'does'"
2,Articles & Nouns,present-basics,"Subject + Verb + Article + Object","subject + verb + article + object","subject,verb,article,object","I eat a sandwich","She drinks the coffee","He reads an article","Use 'a' or 'an' with singular countable nouns. Use 'the' for specific things. No article with plural or uncountable nouns. SOUND RULE: 'a' before consonant sounds (a car, a university), 'an' before vowel sounds (an apple, an hour). Listen to the sound, not the spelling!","true","false","false","false","none","none","I have car (missing article)","Perfect! English needs articles with singular countable nouns: I have a car","A = consonant sounds, AN = vowel sounds. Listen, don't just look!","","Silent letters trick you: 'an hour' (h is silent), 'a university' (sounds like yu-niversity)"
3,Negative Present,present-basics,"Subject + Auxiliary + Negation + Verb + Object","subject + auxiliary + negation + verb + object","subject,auxiliary,negation,verb,object","I don't like vegetables","She doesn't eat meat","They don't watch TV","Use 'do not' with I, you, we, they. Use 'does not' with he, she, it. Always use V1 (base form) after do/does. English uses 'helper words' (auxiliaries) for negatives. Contractions: don't = do not, doesn't = does not.","false","true","true","false","do_does","none","I no eat meat (direct translation)","Excellent logic! English uses 'helper words': I don't eat meat","English loves helpers! Do/does are negative helpers","never, not usually, rarely","After do/does, always use base verb (V1), never add -s"
4,Yes/No Questions,present-basics,"Auxiliary + Subject + Verb + Object?","auxiliary + subject + verb + object","auxiliary,subject,verb,object","Do you like pizza?","Does she eat breakfast?","Do they play soccer?","Use 'Do' with I, you, we, they. Use 'Does' with he, she, it. Always use V1 after do/does. Question formation: 1) Start with Do/Does, 2) Add subject, 3) Use base verb, 4) Add object. Answer patterns: Yes, I do / No, I don't.","false","true","false","true","do_does","yes_no","You like pizza? (missing helper)","Smart thinking! English questions need helpers: Do you like pizza?","Questions flip: Statement → Do + statement","","In questions, subject comes after auxiliary, not before"
5,Wh-Questions (What),present-basics,"Question Word + Auxiliary + Subject + Verb?","question + auxiliary + subject + verb","question,auxiliary,subject,verb","What do you eat?","What does she study?","What do they play?","Start with question word, then use do/does + subject + V1. 'What' asks about things, objects, or activities. Pattern: What + do/does + subject + base verb + ?","false","true","false","true","do_does","wh","¿Qué comes? → What you eat? (missing helper)","Perfect Spanish logic! English adds helpers: What do you eat?","What = things. What + do/does + subject + verb","","Question word comes first, then normal question pattern"
6,Wh-Questions (Who/Where/When),present-basics,"Question Word + Auxiliary + Subject + Verb?","question + auxiliary + subject + verb","question,auxiliary,subject,verb","Where do you live?","When does she work?","Who do they know?","Use different question words (who, where, when) with the same pattern. Who = people, Where = places, When = time. All follow: Question word + do/does + subject + base verb.","false","true","false","true","do_does","wh","¿Dónde vives? → Where you live? (missing helper)","Brilliant! English needs helpers in all questions: Where do you live?","Who = people, Where = places, When = time + same helper pattern","when, where, what time","Who can be subject or object - pattern changes when who is subject"
7,Present Continuous,present-basics,"Subject + Be Verb + Verb-ing + Object","subject + be + verb_ing + object","subject,auxiliary,verb,object","I am eating lunch","She is studying English","They are playing games","Use am (I), is (he/she/it), are (you/we/they) + verb-ing for actions happening now. BE verb selection: I am, You are, He/She/It is, We are, They are. Add -ing to base verb (eating, studying, playing).","false","true","false","false","be","none","I eating lunch (missing BE verb)","Great start! English needs BE verb: I am eating lunch","AM/IS/ARE + verb-ing = happening now","now, right now, at the moment, currently","Some verbs don't use continuous: know, like, want, need (state verbs)"
8,Present Continuous Questions,present-basics,"Question Word + Be Verb + Subject + Verb-ing?","question + be + subject + verb_ing","question,auxiliary,subject,verb","What are you doing?","Where is she going?","Why are they running?","Start with question word, then am/is/are + subject + verb-ing. BE verb comes before subject in questions. Common questions: What are you doing? Where are you going?","false","true","false","true","be","wh","¿Qué estás haciendo? → What you doing? (missing BE)","Excellent! English needs BE first: What are you doing?","Question word + BE + subject + verb-ing","right now, at this moment","BE verb must agree with subject: are you, is she, are they"
9,Time Prepositions,time-expressions,"Subject + Verb + Preposition + Time","subject + verb + preposition + time","subject,verb,preposition,time","She studies at 9 AM","I work on Monday","They meet in January","AT = specific times (at 4 o'clock, at noon, at night). IN = months/years/periods (in April, in 2023, in the morning). ON = days/dates (on Tuesday, on my birthday, on Christmas Day). Memory: AT points, IN contains, ON sits on top.","false","false","false","false","none","none","I work in Monday (wrong preposition)","Good thinking! Days use ON: I work on Monday","AT = point in time, IN = inside time period, ON = on top of day","at 9 AM, on Monday, in January","Exception: 'at night' but 'in the morning/afternoon/evening'"
10,Frequency Adverbs,time-expressions,"Subject + Adverb + Verb + Object","subject + adverb + verb + object","subject,adverb,verb,object","I always eat breakfast","She usually walks","They never complain","Frequency adverbs show how often. Scale: always (100%) → usually (90%) → often (65%) → sometimes (50%) → rarely (15%) → never (0%). Position: before main verb, after BE verb. Sometimes can start sentences.","false","false","false","false","none","none","I eat always breakfast (wrong position)","Perfect! Frequency goes before main verb: I always eat breakfast","Frequency scale: Always → Usually → Often → Sometimes → Rarely → Never","always, usually, often, sometimes, rarely, never","Adverbs go BEFORE main verbs but AFTER BE verbs"
